car_type,dev_id,time,cum_mileage,kWh_per_km,avg_temp,avg_speed
EV6,M2210703644,2021-12-07 08:42:24,4286.0,0.2583,10.19,13.64
EV6,M2210703644,2021-12-07 11:42:47,4323.0,0.2189,10.75,32.39
EV6,M2210703644,2021-12-07 19:29:34,4349.0,0.2538,11.4,26.06
EV6,M2210703644,2021-12-08 08:49:57,4377.0,0.2429,10.7,30.81
EV6,M2210703644,2021-12-08 19:03:43,4401.0,0.25,11.37,23.14
EV6,M2210703645,2021-11-18 11:59:13,2012.0,0.2769,13.29,46.31
EV6,M2210703645,2021-11-23 16:12:05,2045.0,0.325,5.23,34.67
EV6,M2210703645,2021-11-23 18:00:10,2062.0,0.3176,25.77,21.06
EV6,M2210703645,2021-11-23 20:22:52,2096.0,0.3118,17.98,58.73
EV6,M2210703645,2021-11-23 23:08:24,2111.0,0.3067,12.89,45.38
EV6,M2210703645,2021-11-24 12:05:27,2129.0,0.3667,14.35,33.21
EV6,M2210703645,2021-11-24 16:41:05,2264.0,0.35,16.63,40.23
EV6,M2210703645,2021-11-24 18:13:18,2288.0,0.2333,21.68,28.78
EV6,M2210703645,2021-11-29 17:27:01,2334.0,0.2533,25.0,42.17
EV6,M2210703645,2021-11-30 09:53:52,2345.0,0.3818,10.26,13.79
EV6,M2210703645,2021-11-30 14:03:10,2372.0,0.2722,12.5,21.12
EV6,M2210703645,2021-12-01 10:24:40,2403.0,0.26,2.11,21.89
EV6,M2210703645,2021-12-01 15:19:47,2434.0,0.2312,8.8,40.82
EV6,M2210703645,2021-12-01 16:24:29,2444.0,0.26,7.54,17.47
EV6,M2210703645,2021-12-02 11:23:41,2465.0,0.3667,8.51,9.52
EV6,M2210703645,2021-12-03 10:27:52,2505.0,0.2,4.42,23.21
EV6,M2210703645,2021-12-06 10:13:43,2553.0,0.36,0.59,14.71
EV6,M2210703645,2021-12-06 16:17:58,2576.0,0.2636,18.6,13.11
EV6,M2210703645,2021-12-07 09:57:10,2603.0,0.2259,4.4,32.72
EV6,M2210703645,2021-12-07 14:41:43,2652.0,0.225,16.63,20.05
EV6,M2210703645,2021-12-08 10:00:19,2673.0,0.3062,3.65,19.12
EV6,M2210703645,2021-12-08 15:20:13,2693.0,0.1688,9.54,10.26
EV6,M2210703646,2021-11-19 12:53:30,4625.0,0.1678,18.09,51.69
EV6,M2210703646,2021-11-19 19:19:51,4770.0,0.162,18.71,36.11
EV6,M2210703646,2021-11-19 22:09:03,4821.0,0.164,17.55,50.41
EV6,M2210703646,2021-11-20 02:29:59,4872.0,0.1706,16.59,41.45
EV6,M2210703646,2021-11-20 08:27:43,4969.0,0.1619,16.93,51.51
EV6,M2210703646,2021-11-20 09:37:17,4987.0,0.2,13.97,31.91
EV6,M2210703646,2021-11-20 15:52:26,5101.0,0.1649,16.32,44.9
EV6,M2210703646,2021-11-20 20:44:28,5164.0,0.1525,23.15,46.59
EV6,M2210703646,2021-11-22 07:55:20,5222.0,0.2086,10.17,39.67
EV6,M2210703646,2021-11-22 17:50:01,5244.0,0.2636,7.25,20.67
EV6,M2210703646,2021-11-23 08:19:43,5269.0,0.213,4.22,36.95
EV6,M2210703646,2021-11-23 18:02:30,5290.0,0.2476,3.77,16.22
EV6,M2210703646,2021-11-23 20:50:36,5343.0,0.2,4.93,36.06
EV6,M2210703646,2021-11-24 07:25:33,5395.0,0.186,8.95,56.04
EV6,M2210703646,2021-11-24 17:45:00,5416.0,0.2762,7.97,17.65
EV6,M2210703646,2021-11-25 08:18:51,5443.0,0.2059,10.56,41.05
EV6,M2210703646,2021-11-25 18:05:36,5467.0,0.2625,10.04,15.34
EV6,M2210703646,2021-11-26 07:56:24,5496.0,0.1739,5.84,44.98
EV6,M2210703646,2021-11-26 19:36:50,5524.0,0.252,8.96,20.21
EV6,M2210703646,2021-11-27 11:10:06,5588.0,0.2,5.25,36.29
EV6,M2210703646,2021-11-27 17:39:22,5664.0,0.1753,9.12,27.07
EV6,M2210703646,2021-11-28 23:01:23,5733.0,0.1667,16.88,36.05
EV6,M2210703646,2021-11-29 08:18:58,5790.0,0.193,11.49,39.14
EV6,M2210703646,2021-11-29 17:49:48,5811.0,0.2333,10.43,21.59
EV6,M2210703646,2021-11-30 08:32:21,5837.0,0.1913,9.5,34.05
EV6,M2210703646,2021-11-30 17:35:06,5892.0,0.1891,8.17,49.23
EV6,M2210703646,2021-12-01 07:56:01,5943.0,0.202,5.02,47.3
EV6,M2210703646,2021-12-01 17:41:48,5966.0,0.2783,3.35,20.33
EV6,M2210703646,2021-12-02 08:58:41,5991.0,0.2739,4.21,22.43
EV6,M2210703646,2021-12-03 08:21:20,6041.0,0.1783,6.2,39.02
EV6,M2210703646,2021-12-03 17:39:05,6065.0,0.281,5.54,16.79
EV6,M2210703646,2021-12-06 12:53:49,6097.0,0.152,24.15,30.91
EV6,M2210703646,2021-12-06 18:33:54,6125.0,0.1714,18.89,14.04
EV6,M2210703646,2021-12-06 22:09:07,6174.0,0.1367,18.45,45.06
EV6,M2210703646,2021-12-07 07:17:32,6187.0,0.1923,14.08,50.87
EV6,M2210703646,2021-12-07 17:39:08,6257.0,0.2231,10.17,23.65
EV6,M2210703646,2021-12-08 08:19:04,6285.0,0.2261,7.13,43.33
EV6,M2210703646,2021-12-08 18:15:26,6308.0,0.2391,8.94,13.53
EV6,M2210703647,2021-11-22 17:56:06,405.0,0.3071,7.25,22.29
EV6,M2210703647,2021-11-23 15:22:08,420.0,0.2273,9.19,33.28
EV6,M2210703647,2021-11-23 18:35:43,452.0,0.2281,7.4,23.26
EV6,M2210703647,2021-11-24 08:13:27,474.0,0.25,7.91,33.69
EV6,M2210703647,2021-11-24 18:10:01,515.0,0.215,15.01,24.64
EV6,M2210703647,2021-11-25 08:13:51,665.0,0.222,8.36,74.61
EV6,M2210703647,2021-11-25 12:31:57,686.0,0.1952,11.62,32.63
EV6,M2210703647,2021-11-26 18:24:07,744.0,0.2106,9.18,31.5
EV6,M2210703647,2021-11-26 22:45:31,800.0,0.1957,9.2,37.68
EV6,M2210703647,2021-11-27 17:02:32,982.0,0.1931,11.62,45.6
EV6,M2210703647,2021-11-28 13:58:30,1007.0,0.2188,21.0,12.33
EV6,M2210703647,2021-11-29 07:55:52,1020.0,0.2385,6.75,51.43
EV6,M2210703647,2021-11-29 16:55:42,1058.0,0.3292,12.39,20.59
EV6,M2210703647,2021-11-29 20:00:14,1110.0,0.1885,12.95,43.41
EV6,M2210703647,2021-11-30 07:46:33,1127.0,0.2625,14.73,20.79
EV6,M2210703647,2021-11-30 11:44:24,1143.0,0.2563,12.12,22.31
EV6,M2210703647,2021-12-01 07:13:26,1194.0,0.2316,10.43,50.63
EV6,M2210703647,2021-12-01 19:58:23,1246.0,0.2462,2.6,33.0
EV6,M2210703647,2021-12-02 07:27:21,1297.0,0.2255,0.6,46.93
EV6,M2210703647,2021-12-02 19:43:44,1350.0,0.1925,9.35,42.29
EV6,M2210703647,2021-12-03 07:21:50,1401.0,0.202,11.65,51.75
EV6,M2210703647,2021-12-03 15:28:37,1424.0,0.2826,22.66,20.82
EV6,M2210703647,2021-12-06 09:49:41,1452.0,0.2429,3.75,21.63
EV6,M2210703647,2021-12-06 15:59:58,1485.0,0.2273,10.03,16.67
EV6,M2210703647,2021-12-07 09:42:06,1515.0,0.2037,10.07,45.61
EV6,M2210703647,2021-12-07 22:45:28,1547.0,0.2185,14.3,54.27
EV6,M2210703647,2021-12-08 08:35:52,1566.0,0.2368,12.85,52.53
EV6,M2210703647,2021-12-08 18:48:22,1609.0,0.2893,14.07,21.06
EV6,M2210703648,2021-11-18 19:45:12,7649.0,0.21,18.74,18.26
EV6,M2210703648,2021-11-19 20:37:50,7667.0,0.18,19.83,31.28
EV6,M2210703648,2021-11-23 13:09:38,7718.0,0.2,4.89,31.5
EV6,M2210703648,2021-11-23 15:28:37,7736.0,0.2375,20.25,26.9
EV6,M2210703648,2021-11-23 18:05:51,7778.0,0.1962,13.74,35.7
EV6,M2210703648,2021-11-27 20:56:48,7820.0,0.1938,15.15,14.43
EV6,M2210703648,2021-11-28 17:22:43,7913.0,0.2032,17.52,24.38
EV6,M2210703648,2021-11-28 21:14:44,7964.0,0.2275,14.86,19.83
EV6,M2210703648,2021-11-29 10:57:35,7982.0,0.25,10.55,31.58
EV6,M2210703648,2021-11-29 13:24:58,8073.0,0.189,21.79,47.38
EV6,M2210703648,2021-11-29 15:17:40,8110.0,0.2361,19.46,26.34
EV6,M2210703648,2021-11-30 11:58:35,8144.0,0.2088,12.0,50.77
EV6,M2210703648,2021-11-30 15:34:14,8188.0,0.1955,22.07,24.84
EV6,M2210703648,2021-12-03 20:12:50,8222.0,0.2636,14.56,20.3
EV6,M2210703648,2021-12-04 07:53:19,8238.0,0.1909,13.03,40.41
EV6,M2210703648,2021-12-04 19:33:16,8249.0,0.2,13.7,29.29
EV6,M2210703648,2021-12-05 08:12:36,8263.0,0.2,13.54,43.95
EV6,M2210703648,2021-12-06 13:54:05,8352.0,0.2213,19.56,22.23
EV6,M2210703648,2021-12-06 15:48:38,8387.0,0.1857,17.93,38.4
EV6,M2210703648,2021-12-06 17:52:55,8408.0,0.2095,17.09,31.82
EV6,M2210703648,2021-12-06 20:22:12,8434.0,0.1885,15.72,19.76
EV6,M2210703648,2021-12-07 12:37:20,8462.0,0.225,14.42,68.57
EV6,M2210703648,2021-12-07 14:43:24,8525.0,0.1889,22.28,39.51
EV6,M2210703648,2021-12-07 15:40:55,8536.0,0.2273,19.89,38.79
EV6,M2210703648,2021-12-07 17:18:21,8550.0,0.2429,18.51,19.44
EV6,M2210703648,2021-12-08 20:55:44,8575.0,0.1875,15.45,20.42
EV6,M2210703650,2021-11-20 13:39:07,2168.0,0.2233,17.25,65.4
EV6,M2210703650,2021-11-20 17:09:47,2230.0,0.2,28.5,47.81
EV6,M2210703650,2021-11-20 19:41:20,2286.0,0.2036,21.4,31.15
EV6,M2210703650,2021-11-21 11:52:58,2299.0,0.2231,13.36,35.97
EV6,M2210703650,2021-11-21 17:06:42,2489.0,0.2047,17.29,45.36
EV6,M2210703650,2021-11-21 22:52:16,2674.0,0.1892,23.23,95.61
EV6,M2210703650,2021-11-22 02:13:36,2883.0,0.2188,20.33,101.68
EV6,M2210703650,2021-11-27 13:13:16,3030.0,0.1986,19.4,41.41
EV6,M2210703650,2021-11-27 15:41:41,3192.0,0.1809,14.84,90.94
EV6,M2210703650,2021-11-27 17:19:24,3232.0,0.195,15.4,48.63
EV6,M2210703650,2021-11-27 22:38:24,3493.0,0.2027,15.67,67.75
EV6,M2210703650,2021-12-05 13:31:24,3533.0,0.2225,5.97,51.39
EV6,M2210703650,2021-12-05 14:42:45,3560.0,0.2074,8.13,51.65
EV6,M2210703650,2021-12-05 17:09:03,3600.0,0.22,9.05,39.22
EV6,M2210703652,2021-11-18 21:00:21,9502.0,0.14,17.47,52.6
EV6,M2210703652,2021-11-19 09:42:48,9559.0,0.1807,18.99,39.72
EV6,M2210703652,2021-11-19 21:40:40,9612.0,0.1679,15.99,48.89
EV6,M2210703652,2021-11-21 09:08:28,9787.0,0.1812,16.63,77.07
EV6,M2210703652,2021-11-21 19:19:20,9965.0,0.1645,14.22,47.1
EV6,M2210703652,2021-11-22 09:24:18,10021.0,0.1792,19.21,52.49
EV6,M2210703652,2021-11-22 21:20:38,10073.0,0.1731,5.46,35.17
EV6,M2210703652,2021-11-23 09:43:12,10127.0,0.1833,13.22,51.81
EV6,M2210703652,2021-11-23 20:20:38,10186.0,0.1553,6.21,42.44
EV6,M2210703652,2021-11-24 09:52:03,10243.0,0.186,13.71,41.99
EV6,M2210703652,2021-11-24 20:25:55,10296.0,0.1396,10.72,43.67
EV6,M2210703652,2021-11-25 09:50:27,10353.0,0.1737,15.24,37.85
EV6,M2210703652,2021-11-25 19:24:38,10425.0,0.1741,12.71,37.3
EV6,M2210703652,2021-11-26 11:20:56,10467.0,0.2,16.15,39.86
EV6,M2210703652,2021-11-27 11:08:46,10486.0,0.3,3.4,28.69
EV6,M2210703652,2021-11-27 12:22:30,10516.0,0.2067,4.96,42.01
EV6,M2210703652,2021-11-28 08:48:50,10539.0,0.2087,12.88,42.66
EV6,M2210703652,2021-11-28 11:52:40,10561.0,0.2318,10.87,33.67
EV6,M2210703652,2021-11-28 13:53:20,10574.0,0.2538,12.16,27.51
EV6,M2210703652,2021-11-28 21:51:39,10586.0,0.2,13.53,30.62
EV6,M2210703652,2021-11-29 09:47:42,10642.0,0.2679,15.63,40.08
EV6,M2210703652,2021-11-29 21:17:36,10712.0,0.15,14.66,37.42
EV6,M2210703652,2021-11-30 10:13:34,10769.0,0.1965,15.17,32.94
EV6,M2210703652,2021-11-30 14:00:52,10782.0,0.2,11.87,13.15
EV6,M2210703652,2021-11-30 20:45:04,10839.0,0.192,6.55,51.69
EV6,M2210703652,2021-12-01 09:42:55,10895.0,0.2375,11.92,39.35
EV6,M2210703652,2021-12-01 21:09:54,10948.0,0.1925,5.23,37.69
EV6,M2210703652,2021-12-02 09:46:20,11004.0,0.2232,11.79,39.64
EV6,M2210703652,2021-12-02 21:17:41,11062.0,0.1759,7.4,36.74
EV6,M2210703652,2021-12-03 09:44:48,11117.0,0.2327,12.57,40.42
EV6,M2210703652,2021-12-03 17:07:24,11187.0,0.1696,8.13,20.59
EV6,M2210703652,2021-12-04 12:37:21,11278.0,0.1953,13.68,46.24
EV6,M2210703652,2021-12-06 09:41:41,11332.0,0.1642,14.42,54.55
EV6,M2210703652,2021-12-06 20:26:53,11385.0,0.158,10.17,55.2
EV6,M2210703652,2021-12-07 09:57:37,11442.0,0.207,13.96,35.28
EV6,M2210703652,2021-12-07 20:12:52,11493.0,0.1588,11.44,54.77
EV6,M2210703652,2021-12-08 09:41:14,11550.0,0.2123,14.4,44.47
EV6,M2210703652,2021-12-08 13:15:11,11588.0,0.1743,11.87,24.09
EV6,M2210703652,2021-12-08 14:21:43,11603.0,0.1867,12.47,45.72
EV6,M2210703652,2021-12-08 20:42:36,11653.0,0.176,11.2,55.35
EV6,M2210703653,2021-11-18 20:35:41,8337.0,0.1308,15.51,50.03
EV6,M2210703653,2021-11-19 09:23:10,8364.0,0.1815,16.89,36.39
EV6,M2210703653,2021-11-19 16:15:53,8414.0,0.1786,18.67,23.38
EV6,M2210703653,2021-11-19 20:30:47,8436.0,0.2364,19.54,11.92
EV6,M2210703653,2021-11-20 13:42:32,8532.0,0.2105,17.96,31.93
EV6,M2210703653,2021-11-21 20:58:15,8623.0,0.1692,10.81,56.65
EV6,M2210703653,2021-11-22 09:21:13,8650.0,0.2185,14.94,44.63
EV6,M2210703653,2021-11-22 11:53:42,8707.0,0.1667,12.06,37.11
EV6,M2210703653,2021-11-22 14:38:06,8754.0,0.1723,9.83,29.6
EV6,M2210703653,2021-11-22 20:24:29,8780.0,0.1385,7.37,47.98
EV6,M2210703653,2021-11-23 09:30:32,8807.0,0.1926,12.59,38.45
EV6,M2210703653,2021-11-23 20:25:31,8833.0,0.1808,5.52,47.25
EV6,M2210703653,2021-11-24 09:30:04,8860.0,0.1704,11.6,40.48
EV6,M2210703653,2021-11-24 19:53:23,8887.0,0.1611,9.52,26.68
EV6,M2210703653,2021-11-25 09:28:26,8923.0,0.2519,10.96,44.18
EV6,M2210703653,2021-11-25 20:15:18,8949.0,0.1385,12.21,42.55
EV6,M2210703653,2021-11-26 11:20:44,9011.0,0.1935,12.77,35.08
EV6,M2210703653,2021-11-27 12:00:09,9071.0,0.2119,4.48,35.21
EV6,M2210703653,2021-11-27 19:09:04,9084.0,0.2167,7.75,30.19
EV6,M2210703653,2021-11-28 12:56:59,9100.0,0.2,14.64,22.75
EV6,M2210703653,2021-11-28 17:05:31,9119.0,0.2263,13.48,20.69
EV6,M2210703653,2021-11-29 09:29:37,9146.0,0.1741,12.64,37.36
EV6,M2210703653,2021-11-29 12:20:02,9163.0,0.2059,11.26,16.79
EV6,M2210703653,2021-11-29 14:00:14,9179.0,0.18,11.87,31.56
EV6,M2210703653,2021-11-29 20:01:58,9206.0,0.1423,15.24,50.87
EV6,M2210703653,2021-11-30 09:30:56,9232.0,0.2231,13.13,36.41
EV6,M2210703653,2021-11-30 20:20:52,9259.0,0.1704,6.34,50.26
EV6,M2210703653,2021-12-01 09:25:01,9285.0,0.2308,10.57,44.98
EV6,M2210703653,2021-12-01 13:33:36,9307.0,0.2455,6.58,9.46
EV6,M2210703653,2021-12-01 16:20:48,9324.0,0.2294,4.83,22.52
EV6,M2210703653,2021-12-01 17:31:05,9338.0,0.2,4.68,28.78
EV6,M2210703653,2021-12-01 20:15:44,9364.0,0.1885,3.07,51.43
EV6,M2210703653,2021-12-02 09:26:44,9391.0,0.1889,10.01,41.17
EV6,M2210703653,2021-12-02 20:21:33,9417.0,0.1731,6.63,48.47
EV6,M2210703653,2021-12-03 09:28:17,9444.0,0.2148,10.98,43.74
EV6,M2210703653,2021-12-03 20:06:42,9471.0,0.1889,4.74,35.58
EV6,M2210703653,2021-12-06 09:21:37,9506.0,0.2115,12.91,45.86
EV6,M2210703653,2021-12-06 13:27:28,9538.0,0.1871,11.64,22.2
EV6,M2210703653,2021-12-06 20:01:42,9563.0,0.176,10.3,53.89
EV6,M2210703653,2021-12-07 09:26:21,9590.0,0.2423,12.48,43.31
EV6,M2210703653,2021-12-07 14:32:03,9690.0,0.175,12.55,33.26
EV6,M2210703653,2021-12-07 19:46:23,9717.0,0.1741,12.27,55.2
EV6,M2210703653,2021-12-08 09:22:31,9743.0,0.2731,13.28,46.27
EV6,M2210703653,2021-12-08 20:21:00,9770.0,0.1667,11.06,52.23
EV6,M2210703654,2021-11-17 23:59:28,9364.0,0.2684,19.06,69.8
EV6,M2210703654,2021-11-18 10:24:56,9397.0,0.2424,21.94,38.9
EV6,M2210703654,2021-11-18 14:04:24,9430.0,0.1818,20.16,49.69
EV6,M2210703654,2021-11-18 17:49:45,9464.0,0.2735,20.07,29.41
EV6,M2210703654,2021-11-19 00:06:08,9488.0,0.3458,15.47,89.07
EV6,M2210703654,2021-11-19 01:12:19,9511.0,0.2478,15.0,70.17
EV6,M2210703654,2021-11-19 10:22:57,9544.0,0.2182,19.7,52.06
EV6,M2210703654,2021-11-19 12:35:13,9598.0,0.1926,19.84,47.83
EV6,M2210703654,2021-11-19 15:47:10,9692.0,0.1979,20.67,58.72
EV6,M2210703654,2021-11-19 20:03:26,9779.0,0.2111,18.1,43.63
EV6,M2210703654,2021-11-20 01:27:12,9839.0,0.22,15.56,62.28
EV6,M2210703654,2021-11-22 10:01:28,9872.0,0.2152,18.13,42.38
EV6,M2210703654,2021-11-22 14:39:41,9889.0,0.2235,15.0,31.03
EV6,M2210703654,2021-11-22 23:06:30,9908.0,0.2737,16.95,69.09
EV6,M2210703654,2021-11-23 10:23:58,9941.0,0.2,16.53,51.63
EV6,M2210703654,2021-11-23 13:39:59,9957.0,0.2125,13.56,30.14
EV6,M2210703654,2021-11-23 22:36:19,9975.0,0.2667,15.14,57.35
EV6,M2210703654,2021-11-24 10:14:09,10008.0,0.225,15.9,45.75
EV6,M2210703654,2021-11-24 14:53:25,10033.0,0.2042,15.26,30.25
EV6,M2210703654,2021-11-24 22:46:55,10052.0,0.2842,17.01,61.62
EV6,M2210703654,2021-11-25 10:19:28,10085.0,0.2394,17.95,59.67
EV6,M2210703654,2021-11-25 14:46:25,10118.0,0.1848,17.25,54.2
EV6,M2210703654,2021-11-25 15:54:10,10136.0,0.2,26.23,43.17
EV6,M2210703654,2021-11-25 23:00:19,10155.0,0.3053,25.58,67.66
EV6,M2210703654,2021-11-26 06:31:55,10168.0,0.2615,22.13,47.27
EV6,M2210703654,2021-11-26 09:48:14,10200.0,0.2562,19.42,59.05
EV6,M2210703654,2021-11-26 13:45:46,10313.0,0.2115,17.36,62.19
EV6,M2210703654,2021-11-26 18:50:56,10438.0,0.2064,15.55,29.64
EV6,M2210703654,2021-11-26 22:39:59,10457.0,0.2579,15.91,69.8
EV6,M2210703654,2021-11-27 10:17:18,10491.0,0.2303,21.93,66.33
EV6,M2210703654,2021-11-27 14:20:43,10509.0,0.25,17.37,21.03
EV6,M2210703654,2021-11-27 19:38:42,10528.0,0.2211,16.98,56.44
EV6,M2210703654,2021-11-29 10:13:51,10560.0,0.2344,17.84,47.96
EV6,M2210703654,2021-11-29 15:34:09,10582.0,0.2545,16.37,19.59
EV6,M2210703654,2021-11-29 23:07:31,10601.0,0.2842,17.99,71.55
EV6,M2210703654,2021-11-30 10:14:06,10634.0,0.2121,15.75,31.75
EV6,M2210703654,2021-11-30 15:43:43,10651.0,0.2235,14.5,28.58
EV6,M2210703654,2021-11-30 22:32:38,10670.0,0.3053,15.22,64.9
EV6,M2210703654,2021-12-01 10:36:05,10703.0,0.2182,14.98,41.31
EV6,M2210703654,2021-12-01 13:57:53,10724.0,0.2762,10.72,40.84
EV6,M2210703654,2021-12-01 22:19:22,10752.0,0.3263,13.59,64.47
EV6,M2210703654,2021-12-02 10:19:42,10785.0,0.2182,19.41,51.05
EV6,M2210703654,2021-12-02 15:15:28,10802.0,0.2176,11.99,33.32
EV6,M2210703654,2021-12-02 23:01:54,10821.0,0.2632,13.93,65.77
EV6,M2210703654,2021-12-03 10:15:14,10854.0,0.2212,14.12,50.32
EV6,M2210703654,2021-12-03 13:57:15,10992.0,0.2203,14.7,53.66
EV6,M2210703654,2021-12-03 18:53:05,11149.0,0.2033,13.07,48.25
EV6,M2210703654,2021-12-03 23:31:04,11209.0,0.1983,12.35,42.11
EV6,M2210703654,2021-12-04 10:12:14,11242.0,0.1939,22.06,63.16
EV6,M2210703654,2021-12-04 15:24:01,11264.0,0.2176,15.2,26.64
EV6,M2210703654,2021-12-04 19:47:35,11283.0,0.2053,14.85,57.92
EV6,M2210703654,2021-12-05 09:31:01,11305.0,0.2773,16.01,78.42
EV6,M2210703654,2021-12-05 17:55:26,11333.0,0.228,16.63,19.99
EV6,M2210703654,2021-12-06 10:44:05,11371.0,0.2368,15.97,30.31
EV6,M2210703654,2021-12-06 13:48:27,11387.0,0.2125,15.5,31.81
EV6,M2210703654,2021-12-06 23:10:01,11406.0,0.3105,16.12,69.72
EV6,M2210703654,2021-12-07 10:18:07,11439.0,0.2273,20.94,49.05
EV6,M2210703654,2021-12-07 14:47:18,11456.0,0.2,17.11,37.99
EV6,M2210703654,2021-12-07 22:31:28,11475.0,0.2368,16.68,58.46
EV6,M2210703654,2021-12-08 10:32:26,11507.0,0.2469,16.52,43.29
EV6,M2210703654,2021-12-08 11:33:46,11519.0,0.2333,16.06,25.25
EV6,M2210703654,2021-12-08 23:40:54,11543.0,0.275,15.82,36.58
EV6,M2210703655,2021-11-17 11:16:13,368.0,0.24,15.0,18.22
EV6,M2210703655,2021-11-17 13:58:13,425.0,0.2184,15.5,86.53
EV6,M2210703655,2021-11-17 14:50:49,437.0,0.25,22.76,45.0
EV6,M2210703655,2021-11-23 09:27:02,506.0,0.2321,5.84,37.4
EV6,M2210703655,2021-11-23 12:18:41,526.0,0.2867,7.5,22.43
EV6,M2210703655,2021-11-23 15:51:05,591.0,0.1859,21.26,39.12
EV6,M2210703655,2021-12-01 09:44:46,662.0,0.2509,5.17,34.53
EV6,M2210703655,2021-12-01 16:26:07,729.0,0.2519,12.68,33.76
EV6,M2210703657,2021-11-17 15:19:02,8684.0,0.1638,11.77,50.33
EV6,M2210703657,2021-11-17 17:33:52,8705.0,0.2,13.08,24.67
EV6,M2210703657,2021-11-17 19:21:27,8726.0,0.2048,12.92,19.67
EV6,M2210703657,2021-11-17 22:19:11,8740.0,0.2,12.5,33.61
EV6,M2210703657,2021-11-18 09:08:59,8751.0,0.2273,12.98,27.5
EV6,M2210703657,2021-11-18 15:10:26,8777.0,0.1885,14.04,20.79
EV6,M2210703657,2021-11-18 18:33:57,8821.0,0.1795,15.7,19.96
EV6,M2210703657,2021-11-18 22:39:20,8837.0,0.175,15.72,34.81
EV6,M2210703657,2021-11-19 09:06:27,8848.0,0.2545,14.0,25.06
EV6,M2210703657,2021-11-19 13:28:53,8902.0,0.1778,15.25,27.11
EV6,M2210703657,2021-11-19 14:43:39,8919.0,0.2,17.11,35.89
EV6,M2210703657,2021-11-19 17:42:58,8954.0,0.2077,17.79,21.07
EV6,M2210703657,2021-11-19 23:21:12,8965.0,0.2,16.37,40.78
EV6,M2210703657,2021-11-20 09:09:39,8985.0,0.22,12.12,46.42
EV6,M2210703657,2021-11-20 13:13:28,9021.0,0.2167,12.92,21.08
EV6,M2210703657,2021-11-20 19:44:01,9070.0,0.1958,14.13,23.77
EV6,M2210703657,2021-11-20 21:41:11,9085.0,0.2071,13.58,35.22
EV6,M2210703657,2021-11-21 13:28:43,9099.0,0.2429,11.82,26.37
EV6,M2210703657,2021-11-21 18:05:57,9122.0,0.2,13.63,28.14
EV6,M2210703657,2021-11-22 09:31:03,9136.0,0.2167,9.88,20.37
EV6,M2210703657,2021-11-22 18:08:05,9184.0,0.2146,8.2,21.98
EV6,M2210703657,2021-11-22 21:34:56,9202.0,0.2214,6.92,40.32
EV6,M2210703657,2021-11-23 09:24:54,9214.0,0.2333,2.25,27.32
EV6,M2210703657,2021-11-23 17:26:27,9320.0,0.2217,5.26,29.23
EV6,M2210703657,2021-11-23 21:39:14,9336.0,0.2,6.35,29.29
EV6,M2210703657,2021-11-24 09:16:41,9346.0,0.21,3.12,27.05
EV6,M2210703657,2021-11-24 15:05:46,9370.0,0.1958,6.64,22.97
EV6,M2210703657,2021-11-24 18:28:14,9458.0,0.1943,8.91,32.27
EV6,M2210703657,2021-11-25 09:19:39,9483.0,0.2,11.63,25.51
EV6,M2210703657,2021-11-25 14:59:41,9504.0,0.205,10.33,52.14
